,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$25,000.00"
192114003692,"Tommy Hilfiger Women's Bow Tie Jumpsuit, Wine, 12",New,1,$139.00,$139.00,$34.75,TOMMY HILFIGER,,
192114003876,"Tommy Hilfiger Women's Grommet Chain Neck Sheath, Black, 12",New,2,$119.00,$238.00,$59.50,TOMMY HILFIGER,,
192114003883,"Tommy Hilfiger Women's Grommet Chain Neck Sheath, Black, 10",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114003890,"Tommy Hilfiger Women's Grommet Chain Neck Sheath, Black, 8",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114004620,"Tommy Hilfiger Women's 3/4 Sleeve Dress, Black/Gold, 8",New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER,,
192114007034,Tommy Hilfiger Womens Midi Metallic Sheath Dress Black 4,New,1,$129.00,$129.00,$32.25,TOMMY HILFIGER,,
192114007362,"Tommy Hilfiger Women's Classic Belted Fit and Flare Midi Dress, Black, 8",New,1,$109.00,$109.00,$27.25,TOMMY HILFIGER,,
192114029876,Tommy Hilfiger Womens Plus Fair Isle Knit Printed Crewneck Sweater Gray 3X,New,1,$89.50,$89.50,$22.38,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114075743,"Tommy Hilfiger Women's Balloon Sleeve Sheath, Black, 14",New,1,$109.00,$109.00,$27.25,TOMMY HILFIGER,,
192114081058,"Tommy Hilfiger Women's Asymmetrical Hem Sheath Dress, Silver/Black, 4",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114092955,Tommy Hilfiger Womens Black Color Block Long Sleeve Jewel Neck Above The Knee Sheath Dress Size M,New,1,$109.50,$109.50,$27.38,TOMMY HILFIGER,,
192114114176,"Tommy Hilfiger Women's Bow Tie Jumpsuit, Black Solid, 2",New,1,$139.00,$139.00,$34.75,TOMMY HILFIGER,,
192114124045,"Tommy Hilfiger Women's Sweater Dress, Black, Medium",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114124939,"Tommy Hilfiger Women's Jersey Ruffle Front Sheath, Black, 6",New,1,$109.00,$109.00,$27.25,TOMMY HILFIGER,,
192114134211,"Tommy Hilfiger Women's Bow Tie Jumpsuit, Black/Ivory, 16",New,1,$139.00,$139.00,$34.75,TOMMY HILFIGER,,
192114144814,Tommy Hilfiger Womens Brown Animal Print Sleeveless Jewel Neck Short Sheath Wear to Work Dress Size 16,New,1,$134.00,$134.00,$33.50,TOMMY HILFIGER,,
192114145071,"Tommy Hilfiger Women's 3/4 Sleeve Dress, Ultra Aubergine, 2",New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER,,
192114250911,Tommy Hilfiger Womens Plus Long Sleeve Terrier Print Pullover Sweater Red 2X,New,1,$79.50,$79.50,$19.88,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114651596,Tommy Hilfiger Women's Top Plus Boyfriend% Cotton Whites,New,1,$39.50,$39.50,$9.88,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114715311,Tommy Hilfiger Womens Lace Party Mini Dress Black 8,New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114906412,"Tommy Hilfiger Women's One Button Blazer, Deep Midnight, 8",New,1,$129.00,$129.00,$32.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114944261,Tommy Hilfiger Womens Crew Neck Short Sleeves T-Shirt White M,New,2,$24.50,$49.00,$12.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
193666227482,"Tommy Hilfiger Women's Cotton Lounge Bralette Bra, Navy Blazer, L",New,1,$32.00,$32.00,$8.00,TOMMY HILFIGER/D2/DELTA GALIL,,
193666378696,"Tommy Hilfiger Women's Long Sleeve Cotton Tee Shirt with Hilfiger Logo Lounge Pj, Heather Grey, S",New,1,$52.00,$52.00,$13.00,TOMMY HILFIGER/DELTA GALIL USA,,
194414638932,"Tommy Hilfiger Women's Standard Detailed Bikini Bottom, Harbor Blue Solid, Small",New,1,$48.00,$48.00,$12.00,TOMMY HILFIGER SWMWR/G-III APPAREL,,
,FBA16HKH9YYZ/1ZT74T770371868765,,,,,,,,
192114396886,"Tommy Hilfiger Women's Patchwork Shirt Dress, Indigo/Ivory, 12",New,1,$99.50,$99.50,$24.88,TOMMY HILFIGER/G-III APPAREL GROUP,,
,FBA16HKBB5N7/1ZT74T770349699329,,,,,,12/1/2021,,
884002787073,"Alex Evenings Women's Long Column Dress with Sweetheart Illusion Neckline, Black/Gold, 8",New,1,$169.00,$169.00,$42.25,ALEX APPAREL GROUP INC,,
884002787080,"Alex Evenings Women's Long Column Dress with Sweetheart Illusion Neckline, Black/Gold, 10",New,1,$169.00,$169.00,$42.25,ALEX APPAREL GROUP INC,,
884002787097,"Alex Evenings Women's Long Column Dress with Sweetheart Illusion Neckline, Black/Gold, 12",New,1,$169.00,$169.00,$42.25,ALEX APPAREL GROUP INC,,
884002787110,"Alex Evenings Women's Long Column Dress with Sweetheart Illusion Neckline, Black/Gold, 16",New,1,$169.00,$169.00,$42.25,ALEX APPAREL GROUP INC,,
884002913526,"Alex Evenings Women's Petite Long Dress with Knot Front Detail, Wine Cowl, 10P",New,1,$199.00,$199.00,$49.75,ALEX APPAREL GROUP INC,,
884002914578,ALEX EVENINGS BLACK MULTI,New,1,$129.00,$129.00,$32.25,ALEX EVENING,,
884002919375,"Alex Evenings Women's Long Velvet Burnout Dress (Petite and Regular Sizes), Navy Multi High/Low, 16P",New,1,$239.00,$239.00,$59.75,ALEX APPAREL GROUP INC,,
884002926748,"Alex Evenings Women's Plus Size Short Jacquard Knit Dress, Red, 14W",New,3,$169.00,$507.00,$126.75,ALEX EVENING,,
884002926755,"Alex Evenings Women's Plus Size Short Jacquard Knit Dress, Red, 16W",New,2,$169.00,$338.00,$84.50,ALEX EVENING,,
884002926762,"Alex Evenings Women's Plus Size Short Jacquard Knit Dress, Red, 18W",New,1,$169.00,$169.00,$42.25,ALEX EVENING/ALEX APPAREL GROUP,,
884002926779,"Alex Evenings Women's Plus Size Short Jacquard Knit Dress, Red, 20W",New,1,$169.00,$169.00,$42.25,ALEX EVENING,,
884002926786,"Alex Evenings Women's Plus Size Short Jacquard Knit Dress, Red, 22W",New,1,$169.00,$169.00,$42.25,ALEX EVENING,,
884002934071,"Alex Evenings Women's Petite Embellished Capelet Dress (14P, Vintage Teal)",New,1,$199.00,$199.00,$49.75,ALEX APPAREL GROUP INC,,
,FBA16HKD7Q0P/1ZT74T770368896688,,,,,,,,
884002401979,"Alex Evenings Women's T-Length All Over Lace Dress with Jacket Set, Navy, 12",New,1,$179.00,$179.00,$44.75,ALEX APPAREL GROUP INC,,
884002883072,"Alex Evenings Women's One Shoulder Long Dress (Petite and Regular), Electric Blue, 10",New,1,$169.00,$169.00,$42.25,ALEX APPAREL GROUP INC,,
884002902261,"Alex Evenings Women's Petite Tea Length Printed Chiffon Dress with Shawl-Close Out, Champagne, 14P",New,1,$219.00,$219.00,$54.75,ALEX APPAREL GROUP INC,,
884002917210,"Alex Evenings Women's Short Glitter Knit Jacket Dress, Smoke, 18",New,1,$199.00,$199.00,$49.75,ALEX APPAREL GROUP INC,,
884002919719,"Alex Evenings Women's Plus Size Short Sequin Dress, Vintage Teal, 22W",New,1,$219.00,$219.00,$54.75,ALEX EVENING,,
884002921200,"Alex Evenings Women's Long Sequin Dresses, Peacock, 16",New,1,$229.00,$229.00,$57.25,ALEX APPAREL GROUP INC,,
884002924355,"Alex Evenings Women's Short Off The Shoulder Velvet Dress (Petite and Regular), Aubergine, 4P",New,1,$159.00,$159.00,$39.75,ALEX APPAREL GROUP INC,,
884002932107,"Alex Evenings Women's Slimming Long Side Ruched Dress with Cascade Ruffle Skirt, Black/Satin, 2P",New,1,$239.00,$239.00,$59.75,ALEX APPAREL GROUP INC,,
884002933333,"Alex Evenings Women's Plus Size Long Sequin Dress, Rose Gold/Wine, 22W",New,1,$299.00,$299.00,$74.75,Alex Evenings,,
884002948252,"Alex Evenings Women's Tea Length Dress and Jacket (Petite and Regular Sizes), Hydrangea, 8",New,1,$199.00,$199.00,$49.75,ALEX APPAREL GROUP INC,,
884002957506,"Alex Evenings Women's Straight Leg Dress Pant (Petite Regular Plus Sizes), Black Micro Pleat, 3X",New,1,$119.00,$119.00,$29.75,ALEX EVENING/ALEX APPAREL GROUP,,
,FBA16HKD6ZF1/1ZT74T770355289635,,,,,,12/1/2021,,
889177318275,"RACHEL Rachel Roy Women's Plus Size Marcella Midi Dress, Black, 20W",New,2,$119.00,$238.00,$59.50,RACHEL RACHEL ROY,,
889177334831,"RACHEL Rachel Roy Women's Silvia Dress, Black Gold, M",New,1,$149.00,$149.00,$37.25,RACHEL RACHEL ROY,,
889177360366,"RACHEL Rachel Roy Women's Jolie Dress, Black, XL",New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY,,
889177373915,"RACHEL Rachel Roy Women's Harland Dress, Evergreen, L",New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY/RROPCO (195/149),,
889177383457,"RACHEL Rachel Roy Women's Harland Dress, Autumn Cherry, XS",New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY,,
889177383488,"RACHEL Rachel Roy Women's Harland Dress, Autumn Cherry, L",New,3,$109.00,$327.00,$81.75,RACHEL RACHEL ROY,,
889177383495,"RACHEL Rachel Roy Women's Harland Dress, Autumn Cherry, XL",New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY,,
889177440921,RACHEL Rachel Roy Womens Cut-Out Bodycon Sweaterdress Black M,New,1,$129.00,$129.00,$32.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177460141,RACHEL Rachel Roy Womens V-Neck Hi-Low Blouse Blue S,New,1,$59.00,$59.00,$14.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177484000,Rachel Roy Womens Black Striped Multicolored Sleeveless V Neck Below The Knee Wrap Dress Party Dress Size M,New,2,$119.00,$238.00,$59.50,RACHEL RACHEL ROY/RROPCO LLC,,
889177486240,Rachel Roy Womens Wrap Dress Deep Medium Velour Midi Black M,New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177497666,RACHEL Rachel Roy Womens Lucky Leopard Polka Dot Puff Sleeve Mini Dress B/W M Black,New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177497673,"RACHEL Rachel Roy Womens Lucky Leopard Polka Dot Puff Sleeve Mini Dress, Black, Large",New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177497772,RACHEL Rachel Roy Womens Daina Slit Drapey Caftan Dress (Large) Burgundy,New,1,$99.00,$99.00,$24.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177498632,Rachel Roy Womens Beige Animal Print Long Sleeve Keyhole Short Sheath Dress Size XS,New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177500625,"RACHEL Rachel Roy Womens Cotton Turtleneck Top, XXL",New,1,$55.00,$55.00,$13.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177502742,"RACHEL Rachel Roy Women's Solid Long Sleeve Jersey Bret Dress, Ivy Green, S",New,1,$109.00,$109.00,$27.25,RACHEL RACHEL ROY/RROPCO (195/149),,
889177503183,"RACHEL Rachel Roy Women's Animal Printed Long Sleeve Jersey Bret Dress, Dusty Rose Combo, L",New,1,$119.00,$119.00,$29.75,RACHEL RACHEL ROY,,
889177504371,RACHEL Rachel Roy Womens Elastic Square-Neck Tank Top Black XL,New,1,$69.00,$69.00,$17.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177506849,Rachel Roy Womens Pink Sequined Short Sleeve Halter Below The Knee Body Con Evening Dress Size S,New,1,$199.00,$199.00,$49.75,RACHEL RACHEL ROY,,
889177519986,"RACHEL Rachel Roy Women's Plus-Size Short Sleeve Ruffle Crystal Dress, Black, 20W",New,1,$119.00,$119.00,$29.75,RACHEL RACHEL ROY,,
889177522528,RACHEL Rachel Roy Womens Plus Eden Floral Midi Skirt Purple 1X,New,1,$95.00,$95.00,$23.75,RROPCO LLC,,
889177523624,RACHEL Rachel Roy Womens Stella Floral Midi Wrap Dress Black 3X,New,1,$129.00,$129.00,$32.25,RROPCO LLC,,
889177525031,Rachel Roy Womens Purple Zippered Sleeveless V Neck Knee Length Evening Fit + Flare Dress Plus 14W,New,1,$119.00,$119.00,$29.75,RACHEL RACHEL ROY,,
889177529947,RACHEL Rachel Roy Womens One Shoulder Striped Sweaterdress Black S,New,1,$129.00,$129.00,$32.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177530622,Rachel Rachel Roy Metallic Ringer Pullover Sweater Wild Pink Oxblood S,New,1,$79.00,$79.00,$19.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177530691,RACHEL Rachel Roy Womens Veda Lace Trim Sequined Cami Black M,New,1,$89.00,$89.00,$22.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177531278,RACHEL Rachel Roy Womens Veda Sequined V-Neck Tank Top Purple M,New,1,$89.00,$89.00,$22.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177534149,RACHEL Rachel Roy Womens Sheath Dress Small Texture-Stripe Red S,New,1,$149.00,$149.00,$37.25,RACHEL RACHEL ROY,,
889177534170,"RACHEL Rachel Roy Women's Sparkle-Knit Tie-Waist Dress (XL, Port Wine)",New,1,$149.00,$149.00,$37.25,RACHEL RACHEL ROY,,
889177537911,Rachel Roy Womens Purple Cold Shoulder Long Sleeve Keyhole Knee Length Body Con Formal Dress Size XS,New,1,$139.00,$139.00,$34.75,RACHEL RACHEL ROY,,
889177537928,"RACHEL Rachel Roy Women's Metallic Halter Bodycon Dress (S, Black Royal Plum)",New,2,$139.00,$278.00,$69.50,RACHEL RACHEL ROY,,
889177537959,Rachel Roy Womens Purple Cold Shoulder Long Sleeve Keyhole Knee Length Body Con Formal Dress Size XL,New,2,$139.00,$278.00,$69.50,RACHEL RACHEL ROY,,
889177540249,RACHEL Rachel Roy Womens Lulu Shirred Floral Blouse Yellow XS,New,1,$79.00,$79.00,$19.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177540768,"RACHEL Rachel Roy Womens Colorblocked Sweater, Multi, Size Small",New,1,$89.00,$89.00,$22.25,RACHEL RACHEL ROY/RROPCO LLC,,
889177544872,RACHEL Rachel Roy Womens Ivy Sheer Top Ivory S,New,1,$79.00,$79.00,$19.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177545510,"Rachel Roy Womens Long Sleeve Jewel Neck Above The Knee Tulip Dress, Black, Small",New,1,$79.00,$79.00,$19.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177545534,Rachel Rachel Roy Womens Ruffled Knee-Length Party Dress Black L,New,1,$79.00,$79.00,$19.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177545541,"RACHEL Rachel Roy Womens Hortense Ruffled Dress, Black, Size XL",New,1,$79.00,$79.00,$19.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177545923,RACHEL Rachel Roy Womens Metallic Pleated Turtleneck Top Gray M,New,1,$59.00,$59.00,$14.75,RACHEL RACHEL ROY/RROPCO LLC,,
889177548863,Rachel Roy Womens Black Pocketed Floral Spaghetti Strap Square Neck Knee Length Fit + Flare Evening Dress Size 14,New,1,$139.00,$139.00,$34.75,RACHEL RACHEL ROY/RROPCO (195/149),,
,FBA16HKF4H19/1ZT74T770311230798,,,,,,,,
889177537942,Rachel Roy Womens Purple Cold Shoulder Long Sleeve Keyhole Knee Length Body Con Formal Dress Size L,New,1,$139.00,$139.00,$34.75,RACHEL RACHEL ROY,,
,FBA16HK9XL2H/1ZT74T770368990021,,,,,,12/1/2021,,
190607488315,"Tommy Hilfiger Women's Fit and Flare Dress, Sky Captain/Silver, 6",New,1,$149.00,$149.00,$37.25,TOMMY HILFIGER,,
190607500598,Tommy Hilfiger Womens Cotton Split Neck Henley Top Yellow L,New,1,$59.50,$59.50,$14.88,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607519705,"Tommy Hilfiger Womens Dot Basic T-Shirt, Blue, X-Large",New,1,$24.50,$24.50,$6.13,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114001865,"Tommy Hilfiger Women's Sequin Star Dress, Black/Gold, 2",New,1,$149.00,$149.00,$37.25,TOMMY HILFIGER,,
192114002237,"Tommy Hilfiger Women's Sheath Dress, Gunmetal, 2",New,1,$129.00,$129.00,$32.25,TOMMY HILFIGER,,
192114002473,Tommy Hilfiger Womens Black Belted Floral Sleeveless V Neck Midi Sheath Dress Size 18,New,1,$134.00,$134.00,$33.50,TOMMY HILFIGER,,
192114003869,"Tommy Hilfiger Women's Grommet Chain Neck Sheath, Black, 14",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114003876,"Tommy Hilfiger Women's Grommet Chain Neck Sheath, Black, 12",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114004606,"Tommy Hilfiger Women's 3/4 Sleeve Dress, Black/Gold, 12",New,2,$99.00,$198.00,$49.50,TOMMY HILFIGER,,
192114005153,Tommy Hilfiger Womens Grommet Split Neck Shift Dress Red 14,New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114005375,"Tommy Hilfiger Women's Grommet Jumpsuit, Solid Black, 12",New,1,$139.00,$139.00,$34.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114006341,Tommy Hilfiger Womens Black Belted Floral Sleeveless Jewel Neck Knee Length Fit + Flare Dress Size 6P,New,1,$149.00,$149.00,$37.25,TOMMY HILFIGER,,
192114006358,Tommy Hilfiger Womens Petites Floral Belted Fit & Flare Dress Purple 4P,New,1,$149.00,$149.00,$37.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114007263,"Tommy Hilfiger Women's Fit and Flare Midi Dress, Black/Gold, 14",New,1,$144.00,$144.00,$36.00,TOMMY HILFIGER,,
192114058371,Tommy Hilfiger Womens Purple Short Sleeve Keyhole Short Sheath Cocktail Dress Size 22W,New,1,$104.00,$104.00,$26.00,TOMMY HILFIGER,,
192114075132,"Tommy Hilfiger Women's Jersey Assymetrical Hem Dress, Black Multi, 14",New,1,$109.00,$109.00,$27.25,Tommy Hilfiger,,
192114075149,"Tommy Hilfiger Women's Jersey Assymetrical Hem Dress, Black Multi, 12",New,2,$109.00,$218.00,$54.50,TOMMY HILFIGER,,
192114075705,Tommy Hilfiger Womens Red Long Sleeve Jewel Neck Knee Length Fit + Flare Party Dress Size 4,New,1,$109.00,$109.00,$27.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114080860,Tommy Hilfiger Womens Gold Sleeveless V Neck Above The Knee Sheath Party Dress Size 14,New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114080877,"Tommy Hilfiger Women's Metallic Jersey Wrap Dress (12, Gold/Black)",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114080983,Tommy Hilfiger Womens Velvet A-Line Cocktail Dress Black 4,New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114114060,"Tommy Hilfiger Women's Bow Tie Jumpsuit, Forest, 8",New,1,$139.00,$139.00,$34.75,TOMMY HILFIGER,,
192114115845,"Tommy Hilfiger Women's Straight Trouser Pant, Indigo, 14",New,1,$89.00,$89.00,$22.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114121969,"Tommy Hilfiger Women's Sweater Dress, Sky Captain Multi, X-Large",New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER,,
192114123727,"Tommy Hilfiger Women's Sweater Dress, Hickory, Small",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114124922,"Tommy Hilfiger Women's Jersey Ruffle Front Sheath, Black, 8",New,1,$109.00,$109.00,$27.25,TOMMY HILFIGER,,
192114140779,"Tommy Hilfiger Women's Classic Scuba Crepe Two Pocket Dress, Ivory Multi, 14",New,1,$129.00,$129.00,$32.25,TOMMY HILFIGER,,
192114145019,"Tommy Hilfiger Women's Asymmetrical Hem Sheath Dress, Scarlet/Black, 12",New,1,$129.00,$129.00,$32.25,TOMMY HILFIGER,,
192114145125,"Tommy Hilfiger Women's 3/4 Sleeve Dress, Multi Ultra Black, 8",New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER,,
192114145422,"Tommy Hilfiger Women's Classic Chiffon Long Sleeve Midi Dress, Black Multi, 2",New,1,$149.00,$149.00,$37.25,TOMMY HILFIGER,,
192114274535,Tommy Hilfiger Womens Purple Embellished Zippered 3/4 Sleeve Collared Above The Knee Sheath Wear to Work Dress Size 16,New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114274634,"Tommy Hilfiger Women's Neck Tie A-line Dress, Black/White, 14",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER,,
192114274658,"Tommy Hilfiger Women's Neck Tie A-line Dress, Black/White, 10",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114274696,"Tommy Hilfiger Women's Neck Tie A-line Dress, Black/White, 2",New,2,$238.00,$476.00,$119.00,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114291136,"Tommy Hilfiger Women's Round Neck Dress, Dragon Fruit Multi, 14",New,1,$89.00,$89.00,$22.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114291167,"Tommy Hilfiger Women's Round Neck Dress, Dragon Fruit Multi, 8",New,1,$89.00,$89.00,$22.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114338268,Tommy Hilfiger Flag Logo Tee Sky Captain XS (US 0-2),New,1,$39.50,$39.50,$9.88,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114715304,Tommy Hilfiger Womens Lace Party Mini Dress Black 10,New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114890698,"Tommy Hilfiger Women's Classic Scuba Crepe Two Pocket Dress, Deep Black, 2",New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER,,
192114948450,"Tommy Hilfiger Women's Gramercy Pull ON Denim, Sublime Wash, 8",New,1,$69.50,$69.50,$17.38,TOMMY HILFIGER/G-III APPAREL GROUP,,
,FBA16HKD3CFF/1ZT74T770376763109,,,,,,,,
192114680701,Tommy Hilfiger Scuba Asymmetrical Hem Sheath Dress w/Snaps Black/Scarlet 14,New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114680749,Tommy Hilfiger Scuba Asymmetrical Hem Sheath Dress w/Snaps Black/Scarlet 6,New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114680756,Tommy Hilfiger Scuba Asymmetrical Hem Sheath Dress w/Snaps Black/Scarlet 4,New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER,,
,FBA16HKF0BLC/1ZT74T770324856160,,,,,,12/1/2021,,
190161565736,"PAIGE Women's Verdugo Ankle Skinny Jeans with Raw Hems, Black, 26",New,1,$209.00,$209.00,$52.25,PAIGE DENIM/PREMIUM DENIM LLC,,
192081079881,"MSK Women's Overlay Dress w/bar Sleeve Trim, JBS Navy, S",New,1,$99.00,$99.00,$24.75,JBS DRESSES LLC,,
192400596488,Sanctuary Everyday Midi Skirt Party Red LG (US 10-12),New,1,$79.00,$79.00,$19.75,SAGE/SANCTUARY CLOTHING INC,,
192503314712,"Maidenform Women's Comfort Devotion Thong Panty, Purple Rose/Glitter Pink, 8",New,1,$10.67,$10.67,$2.67,HANESBRANDS INC,,
192942396751,"Connection French Snake-Print Tie Blouse, Cream, Small",New,1,$78.00,$78.00,$19.50,FRENCH CONNECTION GROUP INC,,
193465387646,Free People Cha-Cha Top Ivory MD (Women's 8-10),New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465871596,FP Movement Hibernatin Hoodie Black XS (Women's 0-2),New,1,$198.00,$198.00,$49.50,FREE PEOPLE/URBAN OUTFITTERS,,
193653105755,"Joe's Jeans Women's HI Honey HIGH Rise Curvy Bootcut Jean, Wyoming, 30",New,1,$188.00,$188.00,$47.00,JOE'S JEANS/CENTRIC WEST LLC,,
193768021452,1.STATE Spaghetti Strap Cross Front Rumple Cami Blue Velvet XS,New,1,$69.00,$69.00,$17.25,1 STATE/BERNARD CHAUS INC,,
193768725046,1. STATE Womens Blue Tie Bell Sleeve V Neck Top Size XS,New,1,$138.00,$138.00,$34.50,1 STATE/BERNARD CHAUS INC,,
194374012490,Free People Big Sur Long-Sleeve T-Shirt - Amber Combo M Orange,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374101613,We The Free Womens Bondi Knit Waffle Thermal Top Blue S,New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374110929,Free People Women's Intimately FP You Wanna Brami Crochet Bralette in Black Size X-Small,New,1,$38.00,$38.00,$9.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374258096,"Free People Women's Intimately Fp Side of Sass Lace Trim Bodysuit, Black Large",New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
636193014014,INC Women's Velvet One Button Blazer Jacket Top,New,1,$89.50,$89.50,$22.38,INC-MMG,,
650868870354,BCX Womens Juniors Floral Print Faux Wrap Sheath Dress Purple 1,New,1,$59.00,$59.00,$14.75,BCX,,
681283332141,Silver Jeans Co. High Note High-Rise Skinny Jeans L64027EBK588 Black 34 27,New,1,$59.00,$59.00,$14.75,SILVER JEANS/WESTERN GLOVE WORK,,
708008594315,City Studio Womens Green Bow-Back Spaghetti Strap V Neck Mini Fit + Flare Party Dress Size 3,New,1,$59.00,$59.00,$14.75,CITY TRIANGLES-JODI KRISTOPHER,,
708008602904,City Studio A-Line Dress Junior's Floral Lace Overlay Black 3,New,1,$43.99,$43.99,$11.00,CITY TRIANGLES-JODI KRISTOPHER,,
710816017184,BCX Womens Plus Faux Fur Layering Shrug Ivory 3X,New,1,$49.00,$49.00,$12.25,MILLENNIAL PLUS DRESS/BYER CALIFORN,,
714370435248,"Flora Nikrooz Women's Solid Charmeuse Shorts with Lace, Apricot, Pink, X-Small",New,1,$30.00,$30.00,$7.50,FLORA NIKROOZ/ESSENTIAL BRANDS INC,,
719544655057,"Wacoal Women's Lace Affair Contour Bra, Rose dust/Angel Wing, 40D",New,1,$62.00,$62.00,$15.50,WACOAL INC,,
719544655156,"Wacoal Women's Lace Affair Contour Bra, Rose dust/Angel Wing, 36DDD",New,1,$62.00,$62.00,$15.50,Wacoal,,
719544721714,"Wacoal womens Precise Finish Minimizer Bra, Sand, 34DDD US",New,1,$68.00,$68.00,$17.00,Wacoal,,
719544734868,"Wacoal Women's Vivid Encounter Underwire Bra, Black, 32DD",New,1,$65.00,$65.00,$16.25,Wacoal,,
719544867863,"Wacoal Women's Plus Size Flawless Comfort Contour Bra, Brush, 34D",New,1,$65.00,$65.00,$16.25,WACOAL INC,,
719544868129,"Wacoal Women's Plus Size Flawless Comfort Contour Bra, Brush, 36DD",New,1,$65.00,$65.00,$16.25,WACOAL INC,,
732998091813,INC Womens Sequined Knot Front Blouse Pink S,New,1,$89.50,$89.50,$22.38,INC-MMG,,
732998504528,Alfani Womens Satin Ruched Shell Beige M,New,1,$49.50,$49.50,$12.38,ALFANI-EDI,,
732999226504,INC Womens Blouse Purple Large Ruffle Plaid-Mesh V-Neck Black L,New,1,$59.50,$59.50,$14.88,INC-MMG,,
732999272150,INC Womens Smocked Waist Scoop Neck Blouse Green M,New,1,$29.50,$29.50,$7.38,INC-MMG,,
