,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$25,000.00"
733002298921,Alfani Womens Blue Long Sleeve Crew Neck Top Size L,New,1,$79.50,$79.50,$19.88,ALFANI,,
733002383306,Alfani Womens White Gathered Color Block Short Sleeve Crew Neck Top Size S,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
747941763419,"Speechless Juniors' Lace-Top Fit & Flare Dress (M, Midnight)",New,1,$45.99,$45.99,$11.50,SPEECHLESS,,
842665165256,"Sage The Label Penny Lane Shaggy Faux-Fur Coat, Mocha, Medium",New,1,$89.00,$89.00,$22.25,SADIE & SAGE/SAMSUNG C&T (219/643),,
884094389339,Lauren Ralph Lauren Womens Plaid Layering Poncho Sweater Black S/M,New,1,$195.00,$195.00,$48.75,LAUREN/POLO RALPH LAUREN,,
884094510573,Lauren Ralph Lauren Womens Marlette Sateen Faux Wrap Cocktail Dress Gold 14,New,1,$195.00,$195.00,$48.75,LAUREN/POLO RALPH LAUREN,,
889648471027,Signature by Robbie Bee Womens Dress Small Petite Shift Black PS,New,1,$69.00,$69.00,$17.25,ROBBIE BEE,,
,FBA16GTVZ3H1/1ZT74T280304369487,,,,,,,,
93487798980,"Kasper Women's Cap Sleeve Square Neck Sheath Dress, Ivory, 4",New,1,$99.00,$99.00,$24.75,KASPER GROUP LLC,,
190392642466,Jen7 by 7 for All Mankind Split-Seam Ankle Skinny Jeans DRAK Blue 12,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
194374391120,Free People Arden Tee Lite Bark SM (Women's 4-6),New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
732998819844,Maison Jules Womens Polka Dot V-Neck Casual Dress Orange S,New,1,$69.50,$69.50,$17.38,MAISON JULES-MMG,,
,FBA16GTVZ3HP/1ZT74T280332225392,,,,,,11/11/2021,,
93487822715,bar III Womens Plus Faux Leather Skinny Leggings Black 2X,New,1,$99.00,$99.00,$24.75,BAR III/KASPER GROUP LLC,,
93487902028,bar III Womens Plus Striped Suit Separate Wide Leg Pants Black 18W,New,1,$89.00,$89.00,$22.25,BAR III/KASPER GROUP LLC,,
93487909256,"Kasper Women's Drapey Crepe Pant with Front Button Detail, Black, 10",New,1,$79.00,$79.00,$19.75,KASPER GROUP LLC,,
190866911722,"Lauren Ralph Lauren Women's Ruffled Top (L, Grey Heather)",New,1,$59.50,$59.50,$14.88,LAUREN/POLO RALPH LAUREN,,
192648691365,"Theory Women's Boat NK Top, Moss, Large",New,1,$98.00,$98.00,$24.50,THEORY,,
193465561190,Free People Lila Bodysuit Pink L,New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465841681,Free People Women's Austin Long Sleeve Shirt Top White S,New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465906304,Free People Sitting Pretty Brami - Ivory - XSmall,New,1,$48.00,$48.00,$12.00,FREE PEOPLE/URBAN OUTFITTERS,,
93487910085,"Kasper Women's Petite Size Ribbed Metallic Sheath Dress (12P, Vanilla Ice)",New,1,$66.75,$66.75,$16.69,KASPER GROUP LLC,,
93488044536,Kasper Womens Pink Sleeveless Scoop Neck Top Size 3X,New,1,$51.75,$51.75,$12.94,KASPER GROUP LLC,,
194374014340,Free People Womens Fair Isle Cowl Neck Sweater Blue S,New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374019383,Free People Adella Burnout Velvet Slip Navy LG (Women's 12),New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374136912,"Free People Women's Normani Bias Printed Skirt, Fallen Petal, 12",New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374166612,Free People Oliver Henley Blue MD (Women's 8-10),New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374181547,Free People Women's Olivia Satin V-Neck Sleeveless Satin Woven Dress in Champagne (X-Small),New,1,$148.00,$148.00,$37.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374229607,Free People Bright Lights Sweater Adriatic Sea S Turquoise,New,1,$148.00,$148.00,$37.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374316710,"Free People Women's One Fine Day Mini Dress, Midnight Combo, Blue, Floral, X-Small",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374582825,Free People French Quarter Print Wrap Minidress Jet Combo XL,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374631349,FREE PEOPLE Womens Turquoise V Neck Sweater Size XS,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374631400,Free People Coconut Knit V-Neck Sweater Dragonfruit Combo S,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374700786,Free People Madagascar Tank Indigo Combo L,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374811086,Free People Girlfriend Top Black Combo L,New,1,$88.00,$88.00,$22.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191099725,"Free People Women's Tate Tunic, Black Combo, Small",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191107598,"Free People Seasons Change Funnel Neck Sweater, Black M",New,1,$148.00,$148.00,$37.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191282356,Free People Cable Knit Boat Neck Fleece Sleeve Cropped Sweater Honeycomb Sz L,New,1,$168.00,$168.00,$42.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191314026,"Free People Women's Marie Velvet Open Back Top, Queen Pomegranite, Red, X-Small",New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
195191337704,Free People Be Yours Pullover Emerald Aura SM,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191351441,Free People Yours Truly Velvet Top Wild Moon S Blue,New,1,$128.00,$128.00,$32.00,FREE PEOPLE,,
195191363185,Women's Free People Rubi Ripped Pocket T-Shirt Small Pink,New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
195191373559,"Free People Swit The Small Stuff Crochet T-Shirt, Femme Combo, X-Small",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
689439261604,INC Womens Red Luxe Sequined Night Out Halter Top Silver M,New,1,$59.50,$59.50,$14.88,INC-MMG,,
840047417849,Leyden Womens Smocked Surplice Blouse Purple XL,New,1,$59.00,$59.00,$14.75,LEYDEN/LOVE CHARLES H LLC,,
732997662434,bar III Womens Scoop Neck 3/4 Sleeves Bodysuit Green L,New,1,$34.50,$34.50,$8.63,BAR III-MMG,,
732999300938,Alfani Womens Plisse Pleated Wide Leg Dress Pants Black L,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
194374079899,Free People Devin Top Black MD (Women's 8-10),New,1,$88.00,$88.00,$22.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374081410,"Free People Women's Starbright Tunic (Magnolia Blossom, Small)",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
