,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Client Spend,"$40,000.00"
719544950091,"Wacoal Women's Plus Size Perfect Primer Underwire Bra, Monaco Blue, 38DD",New,1,$62.00,$62.00,$15.50,WACOAL INC,,
732996865669,"Family Pajamas Matching Women's Tree-Print Pajamas Set, Trees, S Ivory",New,1,$32.99,$32.99,$8.25,FAMILY PJS,,
732999289905,Alfani Womens Blue Solid Short Sleeve V Neck Top Size L,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
732999344185,Alfani Women's Top Small Cinched Front Scoop Neck Solid White S,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
732999344208,Alfani Women's Blouse Large Elbow Sleeve Pleat Waist White L,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
732999556465,Alfani Womens Blouse Combo Medium Striped Twist-Neck Top White M,New,1,$69.50,$69.50,$17.38,ALFANI,,
732999647323,INC Women's Halter Knit Top Black Striped Keyhole White XL,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001450023,INC Womens Sweater Crewneck Ruffle Studded-Star Pullover Black XS,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001763284,INC Womens Purple Cold Shoulder Long Sleeve Top Size L,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001905622,Alfani Womens Knit Top Island Oasis Medium Twist Front Blue M,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
733002499298,Alfani Womens Beige Cropped Pants Size 6,New,1,$69.50,$69.50,$17.38,ALFANI-EDI/DFA,,
738994258946,"Bali Women's Lace and Smooth Underwire Bra, -hush pink/white cross dye, 34C",New,1,$11.99,$11.99,$3.00,BALI/HANESBRANDS INC,,
749709931894,Betsy & Adam Womens Black Lace Flutter V Neck Short Sheath Cocktail Dress Size 8,New,1,$149.00,$149.00,$37.25,B&A BY BETSY & ADAM/BETSY & ADAM,,
749709972750,Betsy & Adam Womens Black Pocketed Floral Off Shoulder Short Fit + Flare Party Dress Size 2,New,1,$229.00,$229.00,$57.25,BETSY & ADAM,,
758116429856,Planet Gold Womens Burgundy Long Sleeve Turtle Neck Short Sheath Dress Size L,New,1,$24.99,$24.99,$6.25,PLANET GOLD CLOTHING/GOLDEN TOUCH,,
769137215557,LAUREN RALPH LAUREN 3/4 Sleeve Notch Collar Long Pants PJ Set Multi/Paisley SM (US 4-6),New,1,$69.00,$69.00,$17.25,LAUREN/CAROLE HOCHMAN DESIGN INC,,
788545470037,"NY Collection Women's Plus Size Solid ITY V-Neck 3/4 Sleeve Be Slim Dress, Navy, 2X",New,1,$51.75,$51.75,$12.94,NOTATIONS NY COLLECTION,,
794093670140,"SL Fashions Sequined Cape Gown, Faded Rose Pink 8",New,1,$149.00,$149.00,$37.25,SALLY LOU FASHIONS/S L FASHIONS,,
794093670188,SLNY Womens Pink Sequined 3/4 Sleeve Keyhole Maxi Fit + Flare Formal Dress Size 16,New,1,$149.00,$149.00,$37.25,Sl FashionsSLNY,,
822982522451,"Style & Co. Women's Tummy Control Skinny Leg/Curvy Fit Jeans - (Black Rinse, 4L)",New,1,$34.50,$34.50,$8.63,STYLE & CO,,
822982522543,"Style & Co. Womens Curvy-Fit Skinny Jeans (Rinse, 8 Long)",New,1,$34.50,$34.50,$8.63,STYLE & CO,,
826409618697,BCX Womens Juniors Sweater Stretch Fit & Flare Dress Black XL,New,1,$44.99,$44.99,$11.25,BCX/BYER CALIFORNIA,,
889648357956,"Julia Jordan Women's One Shoulder Ruffle Jumpsuit, Black, 2",New,1,$139.00,$139.00,$34.75,JULIA JORDAN,,
,FBA16FNXCFMZ/1ZT74T170301265963,,,,,,10/19/2021,,
194374606408,Free People Kia Semi-Sheer Henley Top Stardust S,NEW,1,$58.00,$58.00,$9.67,FREE PEOPLE/URBAN OUTFITTERS,,
194374609751,Free People Fiona Embroidered Mini Dress Purple S,NEW,1,$148.00,$148.00,$24.67,FREE PEOPLE/URBAN OUTFITTERS,,
194374613437,Free People Sandy Tank Top White M,NEW,1,$38.00,$38.00,$6.33,FREE PEOPLE/URBAN OUTFITTERS,,
194374682853,Free People Aries Tank Rose M,NEW,1,$78.00,$78.00,$13.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374731988,Free People Sweet Something Tank White XL,NEW,1,$78.00,$78.00,$13.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374812489,Free People Float On Flutter-Sleeve Top Black L,NEW,1,$48.00,$48.00,$8.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374878621,Free People Warrior T-Shirt Suede Sand S,NEW,1,$58.00,$58.00,$9.67,FREE PEOPLE/URBAN OUTFITTERS,,
636202934449,Bar III Womens Faux-Leather Faux-Wrap Mini Skirt Black S,NEW,1,$59.50,$59.50,$9.92,BAR III-EDI/DFA,,
661414636065,TEEZE ME JUNIORS GROSGRAIN RIBBON FIT NAVY 5,NEW,1,$41.99,$41.99,$7.00,TEEZE ME,,
707762104969,R M RICHARDS PETITE CASCADING-RUFFLE DRESS NAVY 6P,NEW,1,$89.00,$89.00,$14.83,R & M RICHARDS,,
708008559062,CITY STUDIOS JUNIORS TIE-BACK TEXTURED A-L WHITE 13,NEW,1,$46.99,$46.99,$7.83,CITY TRIANGLES-JODI KRISTOPHER,,
708008565865,City Studio Womens Juniors Sleeveless Floral Mini Dress Yellow 11,NEW,1,$43.99,$43.99,$7.33,CITY TRIANGLES-JODI KRISTOPHER,,
708008572764,City Studio Womens Juniors Studded Bodycon Party Dress Black 1,NEW,1,$59.00,$59.00,$9.83,CITY TRIANGLES-JODI KRISTOPHER,,
708008572788,City Studio Womens Juniors Studded Bodycon Party Dress Black 5,NEW,1,$59.00,$59.00,$9.83,CITY TRIANGLES-JODI KRISTOPHER,,
708008572825,City Studio Womens Juniors Studded Bodycon Party Dress Black 13,NEW,1,$59.00,$59.00,$9.83,CITY TRIANGLES-JODI KRISTOPHER,,
732994115797,INC International Concepts Embellished Star T-Shirt Heather Grey L,NEW,1,$49.50,$49.50,$8.25,INC-MMG,,
732995858204,Alfani Satin V-Neck Tank Top Flamenco Pink XL,NEW,1,$42.50,$42.50,$7.08,ALFANI-EDI,,
732996349718,Alfani Womens Linen Blend Striped Tank Top B/W L,NEW,1,$49.50,$49.50,$8.25,ALFANI,,
732996350110,Alfani Printed Shirtdress Wide Brush Pink Neutral 16,NEW,1,$76.50,$76.50,$12.75,ALFANI-EDI,,
732996454290,"Alfani Women's Tiered Asymmetrical Top (Breeze, 14)",NEW,1,$49.50,$49.50,$8.25,ALFANI,,
732996797984,"INC International Concepts Women's Tie-Dye Gauze Dress (Tie Dye Galaxy, Large)",NEW,1,$99.50,$99.50,$16.58,INC,,
732998504702,Alfani Womens Smocked V-Neck Pullover Top Red M,NEW,1,$59.50,$59.50,$9.92,ALFANI-EDI,,
732998990796,Alfani Womens Curvy Fit Tummy Control Straight Leg Pants Gray 4,NEW,1,$74.50,$74.50,$12.42,ALFANI,,
747941305992,SPEECHLESS JUNIORS FLORAL-PRINT FIT FL GREYYELLOW 9,NEW,1,$43.99,$43.99,$7.33,SPEECHLESS,,
747941667861,Speechless Women's Dress Olive Large A-Line Faux Wrap Green L,NEW,1,$38.99,$38.99,$6.50,SPEECHLESS/SWAT FAME INC,,
747941668110,Speechless Womens Navy Floral Sleeveless V Neck Mini Fit + Flare Party Dress Size 5,NEW,1,$69.00,$69.00,$11.50,SPEECHLESS,,
821448013489,Soluna Over the Moon Printed Tie Fron Capricorn M,NEW,1,$68.00,$68.00,$11.33,SOLUNA/LUNADA BAY CORP,,
886542992214,B DARLIN JUNIORS FLORAL BOW-BACK DRESS ROYALRED FLORAL 1112,NEW,1,$44.99,$44.99,$7.50,BEE DARLIN' INC,,
821448013625,Soluna Over the Moon Printed High-Waist Bikini Bottoms Women's Swimsuit,NEW,1,$64.00,$64.00,$10.67,Soluna,,
821448014318,Soluna Under The Sun Cutout High-Waist Bikini Bottoms Women's Swimsuit,NEW,1,$68.00,$68.00,$11.33,Soluna,,
,FBA16CG85DFC / 1ZT738T70343322604,,,,,,10/19/2021,,
191888460106,"Nike Pro Women's Crops (Plus Size) (Black, 2X)",NEW,1,$45.00,$45.00,$7.50,NIKE USA INC,,
191888524020,"Nike Women's Fast Crop, Gunsmoke/Reflective Silver, Medium",NEW,1,$55.00,$55.00,$9.17,NIKE,,
191888970940,Nike Womens Essential Icon Futura T-Shirt BV6169-063 Size L,NEW,1,$30.00,$30.00,$5.00,NIKE,,
192498132704,"Nike Dry Legend Tee Crew (Small, Black/Heather/White)",NEW,1,$25.00,$25.00,$4.17,NIKE,,
192498132728,"Nike Dry Legend Tee Crew (Large, Black/Heather/White)",NEW,1,$25.00,$25.00,$4.17,NIKE,,
192502491957,"Nike Women's Pro Warm Long Sleeve Top (Black/White, Small)",NEW,1,$60.00,$60.00,$10.00,NIKE,,
193152621893,Nike Women's Sportswear Futura Cotton Ringer T-Shirt - Pink Quartz L,NEW,1,$35.00,$35.00,$5.83,NIKE,,
193655465789,Nike Swoosh Women's Medium-Support 1-Piece Pad Sports Bra BV3636-100 Size L White/Black,NEW,1,$38.00,$38.00,$6.33,NIKE,,
193655494284,Nike One Women's 7/8 Color Block Tights CJ2450-073 Size M,NEW,1,$60.00,$60.00,$10.00,NIKE,,
193655542947,Nike Pro Tank Essential Swoosh Black/White SM,NEW,1,$40.00,$40.00,$6.67,NIKE,,
193655620652,Nike Womens Indy Seamless Bra Black Larg,NEW,1,$35.00,$35.00,$5.83,NIKE,,
193658494007,Nike Women's Polo Shirt 100% Polyester Golf BV0217 Orange (X-Large),NEW,1,$55.00,$55.00,$9.17,NIKE,,
193659763508,Nike Women's Sportswear Icon Clash Graphic T-Shirt Black XL,NEW,1,$50.00,$50.00,$8.33,NIKE,,
194272071957,Nike Womens Cotton Printed Cropped T-Shirt Black XL,NEW,1,$35.00,$35.00,$5.83,NIKE,,
194272072091,Nike Womens Cotton Printed Cropped T-Shirt Pink XS,NEW,1,$35.00,$35.00,$5.83,NIKE,,
194272072121,Nike Women's Cotton Printed Cropped T-Shirt Washed Coral (Large),NEW,2,$35.00,$70.00,$11.67,NIKE,,
194493469175,Nike Women's Element Running ½-Zip Long Sleeve Shirt,NEW,1,$65.00,$65.00,$10.83,NIKE,,
194493518781,Nike Women's One Printed Bike Shorts Multicolor M,NEW,1,$45.00,$45.00,$7.50,NIKE,,
194498108031,"Nike Dry Women's Tempo Dri-Fit Running Shorts (Gunsmoke Heather/Wolf Grey, Medium)",NEW,1,$30.00,$30.00,$5.00,NIKE,,
194499513148,Nike Womens Pro 365 Tight CZ9779-010 Size XS Black/White,NEW,1,$50.00,$50.00,$8.33,NIKE,,
194499513155,Nike Womens Pro 365 Tight CZ9779-010 Size S Black/White,NEW,1,$50.00,$50.00,$8.33,NIKE,,
194499513162,Nike Womens Pro 365 Tight CZ9779-010 Size M Black/White,NEW,1,$50.00,$50.00,$8.33,NIKE,,
194502665000,"Nike Women's NSW Sportswear Gym Vintage Full-Zip Hoodie (Fuchsia/(Sail), Small, s)",NEW,1,$60.00,$60.00,$10.00,NIKE,,
194502730845,"Nike Women's Sports Bras Polyester/Spandex Blend Swoosh Bra, Medium Support CZ7208 Purple (Medium)",NEW,1,$40.00,$40.00,$6.67,NIKE,,
194502755084,"Nike Pro 365 Women's 5"" Shorts (Black/White, SM 5, s)",NEW,1,$60.00,$60.00,$10.00,NIKE,,
194502767971,"Nike Pro 365 Women's High-Rise 7/8 Leggings (Black/White, SM)",NEW,1,$50.00,$50.00,$8.33,NIKE,,
194502767988,"Nike Pro 365 Women's High-Rise 7/8 Leggings (Black/White, MD)",NEW,1,$50.00,$50.00,$8.33,NIKE,,
194502869309,"Nike One Women's Mid-Rise 7"" Bike Shorts DD0243-010 Size S Black/White",NEW,1,$40.00,$40.00,$6.67,NIKE,,
194502869804,Nike Dri-FIT One Women's Mid-Rise Leggings Tights DD0252-010 Size L Black/White,NEW,1,$55.00,$55.00,$9.17,NIKE,,
194957189656,"Nike Dri-FIT Legend Women's Training T-Shirt AQ3210-477 XL (Blue), X-Large",NEW,1,$50.00,$50.00,$8.33,NIKE,,
675911617908,"Nike Women's Dri-fit Tempo Track 3.5 Short (Black/Black/Wolf Grey, Medium)",NEW,1,$90.00,$90.00,$15.00,NIKE,,
675911877203,"Nike Women's Dri-fit Tempo Track 3.5 Short (Vivid Pink/White/Black, Large)",NEW,1,$60.00,$60.00,$10.00,NIKE,,
886550330930,"Nike Women's Everyday Plus Lightweight Training Footies (3 Pair), No Show Socks for Women with Anti-Slip Gripping, White/Wolf Grey, M",NEW,1,$16.00,$16.00,$2.67,NIKE USA INC,,
887229130493,Nike Womens Indy Fitness Running Sports Bra Black XS,NEW,1,$35.00,$35.00,$5.83,NIKE,,
887229130509,"Nike Indy Wire-Free Sports Bra, S, Black",NEW,1,$35.00,$35.00,$5.83,NIKE,,
887229130523,"NIKE Indy Wire-Free Sports Bra, M, Black/White",NEW,1,$35.00,$35.00,$5.83,NIKE,,
887229130530,"NIKE Women's Indy Bra, Black Black Black White, Youth Large / 11-13",NEW,2,$35.00,$70.00,$11.67,NIKE,,
888407689239,Nike Womens Plus Medium Support Fitness Sports Bra Black 1X,NEW,1,$30.00,$30.00,$5.00,NIKE USA INC,,
888407694028,Nike Indy Women's Light Support Sports Bra (Plus Size) White/Black/Black (2X),NEW,1,$35.00,$35.00,$5.83,NIKE USA INC,,
193150352225,Nike Plus Size Sportswear Cotton Logo T-Shirt - Dark Grey Heather Size 2X,NEW,1,$30.00,$30.00,$5.00,NIKE USA INC,,
193654975883,"Nike Women's Sportswear Gym Vintage Full-Zip Hoodie , Valerian Blue/(Sail), Large",NEW,1,$60.00,$60.00,$10.00,NIKE,,
193656459855,Nike Plus Size Gym Vintage Capri Pants - Gray Size 1X,NEW,1,$45.00,$45.00,$7.50,NIKE USA INC,,
194493475923,"Nike Women's Running Crew Top, Black, Size Large",NEW,1,$55.00,$55.00,$9.17,NIKE,,
,FBA16CFGWTMH,,,,,,,,
193147070125,"Nike Women's Tennis Essential Filled Vest (Gray/White, Medium)",NEW,1,$90.00,$90.00,$15.00,NIKE,,
,FBA16CFG1MZV/1ZT738T70330202384/1ZT738T70326250787,,,,,,10/19/2021,,
192400609867,Sanctuary Womens Striped Cropp Crewneck Sweater Pink M,New,1,$99.00,$99.00,$24.75,SAGE/SANCTUARY CLOTHING INC,,
192400610771,Sanctuary Telluride Sweater Winter Coral XL (US 14),New,1,$99.00,$99.00,$24.75,SAGE/SANCTUARY CLOTHING INC,,
192400613055,Sanctuary Women's Shine On Sweater Black Silver Lurex (Medium),New,1,$79.00,$79.00,$19.75,SAGE/SANCTUARY CLOTHING INC,,
193465631282,Free People Womens Moonbeam V Alpaca Blend Ribbed Knit Pullover Sweater Gray M,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465946959,"Free People Women's Santiago Blouse, Pink, Medium",New,1,$88.00,$88.00,$22.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374010120,Free People Women's Check On It Faux Wrap Top in Frosted Fern Size Small,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374085180,Free People Women's Alpaca My Bags Pom Beanie | Color - Ivory | One Size,New,1,$48.00,$48.00,$12.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374085197,Free People Womens Alpaca Pom Beanie Hat Purple O/S,New,1,$48.00,$48.00,$12.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374151106,Free People Womens Alanis Faux Leather Embroidered Mini Skirt Tan 6,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374279169,Free People Womens Floral Print Lace-Up Mini Dress Red XS,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
632421883964,Love Squared Womens Plus Animal Print Chiffon Jacket Dress Tan 2X,New,1,$59.00,$59.00,$14.75,LOVE SQUARED/JUST FOR WRAPS INC,,
632421889140,Love Squared Womens Plus Lace Bell Sleeves Bodycon Dress Purple 3X,New,1,$59.00,$59.00,$14.75,LOVE SQUARED/JUST FOR WRAPS INC,,
635273761923,"Tahari ASL Women's Collarless Double Zipper Topper, Mulberry, 10",New,1,$149.00,$149.00,$37.25,TAHARI ASL/PACIFIC ALLIANCE MFG,,
661414647702,Teeze Me Womens Plus Glitter Lace Fit & Flare Dress Blue 22,New,1,$89.00,$89.00,$22.25,TEEZE ME/CHOON INC (160/256),,
686812466908,Bar Iii Womens Jacket Purple Flyaway Faux Leather Jacket Deep Merlot X-Small,New,1,$99.50,$99.50,$24.88,BAR III-EDI/SANTAFENY,,
708008550724,SAY YES TO THE PROM Womens Gold Embellished Floral Sleeveless Crop Top Prom Top Size 22W,New,1,$169.00,$169.00,$42.25,MILLENNIAL PLUS/JODI KRISTOPHER,,
708008611234,City Studios Womens Plus Sweetheart Neckline Tummy Slimming Party Dress Navy 24W,New,1,$79.00,$79.00,$19.75,MILLENNIAL PLUS/JODI KRISTOPHER,,
720655559097,"Vince Camuto Printed Layered-Hem Halter Top (Crimson Red, XL)",New,1,$79.00,$79.00,$19.75,VINCE CAMUTO/BERNARD CHAUS,,
732995322347,I N C International Concepts INC Cutout Cold-Shoulder Top Real Red L,New,1,$44.50,$44.50,$11.13,INC-MMG,,
732997497630,bar III Womens Ribbed Twist Front Bodysuit Green M,New,1,$44.50,$44.50,$11.13,BAR III-MMG,,
747941389848,Speechless Womens Plus Scalloped Hi-Low Maxi Dress Black 3X,New,1,$99.00,$99.00,$24.75,SPEECHLESS/SWAT FAME INC,,
842681122103,"Q & A Volume Sleeve Blouse, Light Pink, Small",New,1,$59.00,$59.00,$14.75,Q&A7 LLC,,
732998556091,"Maison Jules Women's London Printed Scalloped Top (S, Brookline Beige)",New,1,$44.50,$44.50,$11.13,MAISON JULES-MMG,,
734008993827,Karen Kane Plus Size Sparkle Knit Wrap Top Black 2X (US 18W),New,1,$108.00,$108.00,$27.00,KAREN KANE PLUS/KAREN KANE CO,,
194374043562,Free People Womens Nova Striped Tassel Winter Scarf B/W O/S,New,2,$68.00,$136.00,$34.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374062907,Free People Womens One Of The Girls Waffle Hi-Low Thermal Top Orange M Red,New,1,$40.00,$40.00,$10.00,FREE PEOPLE/URBAN OUTFITTERS,,
608381765107,"INC International Concepts Women's Pull-On Skinny Pants (0, Deep Black)",New,1,$49.50,$49.50,$12.38,INC-MMG,,
194374274294,Free People Women's Ivy Mid Rise Released Hem Skinny Jeans Seal Blue Size 24,New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
,FBA16GNQRW9M/1ZT74T280319734116,,,,,,,,
194374061542,"Free People Women's Highland V-Neck Sweater, Size Large - Beige",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
93487874851,Kasper Womens Floral Cowlneck Top Black XS,New,1,$49.00,$49.00,$12.25,KASPER GROUP LLC,,
747941389831,Speechless Womens Plus Scalloped Hi-Low Maxi Dress Black 2X,New,1,$99.00,$99.00,$24.75,SPEECHLESS/SWAT FAME INC,,
,FBA16GNYKMJ9/1ZT74T280328644849,,,,,,,,
93487671795,"Kasper Women's Crepe Fly Away Cardigan with Zipper Detail, Black, 16",New,1,$119.00,$119.00,$29.75,KASPER GROUP LLC,,
192284665058,Planet Gold Womens Plus Ribbed Knit Lace-Up Sheath Dress Black 2X,New,1,$49.00,$49.00,$12.25,MILLENNIAL PLUS DRESS/GOLDEN TOUCH,,
193768222316,"Vince Camuto Women's Elbow Sleeve Mock Neck Textured Blouse, Pearl Ivory, Extra Large",New,1,$89.00,$89.00,$22.25,VINCE CAMUTO/BERNARD CHAUS,,
,FBA16GNW1YD1/1ZT74T280389600683,,,,,,11/9/2021,,
42714300748,Playtex Women's Secrets All Over Smoothing Full-Figure Underwire Bra US4747,New,1,$31.50,$31.50,$7.88,PLAYTEX/HANESBRANDS INC,,
83626126309,"Vanity Fair Women's Nearly Invisible Strapless Underwire Bra 74202, damask neutral, 40DD",New,1,$31.50,$31.50,$7.88,VANITY FAIR BRAND/FRUIT OF THE LOOM,,
85447303723,"Bali Women's Lace ""n"" Smooth Underwire Bra, In The Navy,34C",New,1,$11.99,$11.99,$3.00,BALI/HANESBRANDS INC,,
86569279118,"INK+IVY Plush Kimono Robe for Women - Soft Sleepwear Pajamas - Ladies Bathrobe Loungewear with Pocket, Collar & Cuff, S, Frosted Sky",New,1,$68.00,$68.00,$17.00,E & E CO LTD,,
193465832559,Free People Womens White Long Sleeve Scoop Neck Top Size ML,New,1,$48.00,$48.00,$12.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465885838,Free People Carson Utility Skirt Sand 10,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374043401,Free People Womens Adelle Velvet V-Neck Tunic Top Purple XS,New,1,$148.00,$148.00,$37.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374081021,We The Free Womens Plaid Released Trim Button-Down Top Red XL,New,1,$118.00,$118.00,$29.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374178318,Free People Spaced Out Long Sleeve Top in Night Combo (Medium),New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
194540194722,LAUREN RALPH LAUREN Tie-Dye Maxi Dress Bright Fuchsia/Multi XS,New,1,$125.00,$125.00,$31.25,LAUREN/POLO RALPH LAUREN,,
617914734138,"Playtex Women's 18 Hour Gorgeous Lift Wirefree Bra USE515, Black, 40C",New,1,$49.77,$49.77,$12.44,Playtex,,
632421887894,Love Squared Womens Plus Floral Asymmetric Maxi Dress Red 1X,New,1,$69.00,$69.00,$17.25,LOVE SQUARED/JUST FOR WRAPS INC,,
887840282601,"Emerald Sundae Juniors' Double-Strap Bodycon Dress, Black, Medium",New,1,$59.00,$59.00,$14.75,EMERALD SUNDAE/WILD HORSES APPAREL,,
887840375938,Emerald Sundae Womens Beadd Halter Cocktail Dress Black 3X,New,1,$79.00,$79.00,$19.75,EMERALD SUNDAE/WILD HORSES APPAREL,,
889602379574,Sun & Moon Womens Crop Boxy Turtleneck Sweater Pink S,New,1,$59.00,$59.00,$14.75,SUN+MOON/RDG GLOBAL LLC,,
635273774428,ROBBIE BEE Women's Plus Floral Print Cowl-neck Maxi Dress,New,1,$79.00,$79.00,$19.75,ROBBIE BEE/ZG APPAREL GROUP LLC,,
635273774428,"Tahari ASL Women's 2 Button Plaid Topper, Ivory Black Plaid, 14P",New,1,$119.25,$119.25,$29.81,TAHARI ASL/PACIFIC ALLIANCE MFG,,
661414646095,Teeze Me Womens Juniors Tiered V-Neck Skater Dress Blue 11/12,New,1,$45.99,$45.99,$11.50,TEEZE ME/CHOON INC (226/256),,
714370121394,"Flora Nikrooz Women's Plus Size Stella Robe, Black, 1X",New,1,$53.99,$53.99,$13.50,FLORA/ESSENTIAL BRANDS INC,,
732995349146,"I-N-C Inc Printed Hanky-Hem Halter Top, Sunshine Paisley L",New,1,$59.50,$59.50,$14.88,INC-MMG,,
732998128489,I-N-C Inc Embellished Keyhole Sweater Magenta Flame XL,New,1,$79.50,$79.50,$19.88,INC-MMG,,
732998135500,"INC International Concepts Women’s Sparkle Jogger Pants (L, Deep Black)",New,1,$69.50,$69.50,$17.38,INC-MMG,,
732998993636,I.N.C. International Concepts Women's Colorblocked Unpadded Bralette Tropical Peach L,New,1,$24.00,$24.00,$6.00,INC-MMG/MMG-INC HOSIERY/GLOBL LEGWR,,
732999209354,Alfani Womens Sharkbite Hem Split Neck Shift Dress Green XXL,New,1,$89.50,$89.50,$22.38,ALFANI-EDI,,
738994259431,"Bali Women's Lace and Smooth Underwire Bra, -hush pink/white cross dye, 38D",New,1,$11.99,$11.99,$3.00,BALI/HANESBRANDS INC,,
747941764317,Speechless Womens Plus Juniors Halter Mini Dress Purple 20,New,1,$69.00,$69.00,$17.25,SPEECHLESS/SWAT FAME INC,,
828659155229,Jessica Howard Womens Mesh Glitter Evening Dress Purple 10,New,1,$159.00,$159.00,$39.75,JESSICA HOWARD,,
86569279125,"INK+IVY Plush Kimono Robe for Women - Soft Sleepwear Pajamas - Ladies Bathrobe Loungewear with Pocket, Collar & Cuff, M, Frosted Sky",New,1,$68.00,$68.00,$17.00,E & E CO LTD,,
93487688120,Kasper Womens Colorblock Sleeveless Sheath Dress Black 8,New,1,$89.00,$89.00,$22.25,KASPER GROUP LLC,,
93487699539,"Kasper Women's Drape Neck Knit TOP, Fire Red, Petite/Small",New,1,$29.25,$29.25,$7.31,KASPER GROUP LLC,,
192400493909,Sanctuary Palmer Cigarette Chino Greenstone 29,New,1,$99.00,$99.00,$24.75,SAGE/SANCTUARY CLOTHING INC,,
732998271949,Bar III Floral Printed Mock-Neck Mini Dress Navy Multi S,New,1,$79.50,$79.50,$19.88,BAR III-MMG,,
194374168432,Free People First Bloom Plaid Top Blue Large (Women's 12),New,2,$98.00,$196.00,$49.00,FREE PEOPLE/URBAN OUTFITTERS,,
,FBA16GPWCW2D/1ZT74T280368527089,,,,,,,,
192284665041,Planet Gold Womens Plus Ribbed Knit Lace-Up Sheath Dress Black 1X,New,1,$49.00,$49.00,$12.25,MILLENNIAL PLUS DRESS/GOLDEN TOUCH,,
635273727967,Tahari by ASL Wrap Crop Pearl Trim Jacket Dress Set Silver/Grey 8,New,1,$229.99,$229.99,$57.50,TAHARI ASL/PACIFIC ALLIANCE MFG,,
732998291503,INC International Concepts Rhinestone Embellished-Overlay Sweater Grey X-Large,New,1,$89.50,$89.50,$22.38,INC-MMG,,
194374168432,Free People First Bloom Plaid Top Blue Large (Women's 12),New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
,FBA16GPXN3TR/1ZT74T280381180786,,,,,,11/9/2021,,
190383173436,Free People Galloon Lace Racerback Black XL,New,1,$20.00,$20.00,$5.00,FREE PEOPLE/URBAN OUTFITTERS,,
190383174440,"Free People Women's Galloon Lace Racerback, Pink, X-Small",New,1,$20.00,$20.00,$5.00,FREE PEOPLE/URBAN OUTFITTERS,,
192648078531,"Theory Women's Pleat Tee Dress, Black, P",New,1,$455.00,$455.00,$113.75,THEORY LLC,,
193465054708,Free People Sage Longline Bralette Nude SM,New,1,$38.00,$38.00,$9.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465510495,Free People Women's Acadia Cropped T-Shirt in Pink Pearl Size Small,New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465581556,Free People Santa Clara Thermal Shirt White (Large),New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465842404,Free People Amelia Thermal TOP (Black) (XS),New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465857057,Free People Womens Green Snap Closure Floral Long Sleeve Scoop Neck Body Suit Top Size L,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465963727,Free People Moonshine Tunic Army SM (Women's 4-6),New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465967374,Free People Charli Bodysuit Black LG (Women's 12),New,1,$48.00,$48.00,$12.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374006277,Free People Womens Blue Long Sleeve Jewel Neck Top Size S,New,2,$68.00,$136.00,$34.00,Free People,,
194374006284,Free People Womens Forever Your Girl Knit Babydoll Pullover Top Blue M,New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
