,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Client Spend,"$40,000.00"
744743036420,Bar III Sunset Solids Ring Halter Biki Deep Teal M,NEW,1,$44.00,$44.00,$11.00,BAR III/MANHATTAN BEACHWEAR,,
744743043770,Lauren Ralph Lauren Graphic Paisley Printed Tummy- Graphic Paisley 4,NEW,1,$128.00,$128.00,$32.00,LARN RALPH LARN/MANHATTAN (138/385),,
744743091023,Lauren Ralph Lauren High-Neck Colorblock One-Piece BlackWhite 2,NEW,5,$132.00,$660.00,$165.00,LARN RALPH LARN/MANHATTAN (138/385),,
744743637726,La Blanca Island Goddess Ruched-Side Hip Blueberry 8,NEW,1,$54.00,$54.00,$13.50,LA BLANCA/MANHATTAN BEACHWEAR INC,,
754509369600,Miraclesuit Faux-Flyaway Swimdress Black 8,NEW,2,$190.00,$380.00,$95.00,MIRACLESUIT/MAINSTREAM SWIMSUITS,,
754509370866,Miraclesuit Bra-Sized Bikini Top Black 36D,NEW,1,$80.00,$80.00,$20.00,MIRACLESUIT/MAINSTREAM SWIMSUITS,,
754509421865,Miraclesuit Lynx Lazuli Dazzle Tankini Swi Lynx Lazuli 10,NEW,1,$134.00,$134.00,$33.50,MIRACLESUIT/MAINSTREAM SWIMSUITS,,
754509421872,Miraclesuit Lynx Lazuli Dazzle Tankini Swi Lynx Lazuli 12,NEW,1,$134.00,$134.00,$33.50,MIRACLESUIT/MAINSTREAM SWIMSUITS,,
754509421919,Miraclesuit Royal Palms Mirage Tankini Swi Royal Palms 10,NEW,1,$128.00,$128.00,$32.00,MIRACLESUIT/MAINSTREAM SWIMSUITS,,
754509421940,Miraclesuit Royal Palms Mirage Tankini Swi Royal Palms 16,NEW,1,$128.00,$128.00,$32.00,MIRACLESUIT/MAINSTREAM SWIMSUITS,,
754509435541,Miraclesuit Genesis Shoreline Tankini Swim Genesis 14,NEW,1,$126.00,$126.00,$31.50,MIRACLESUIT/MAINSTREAM SWIMSUITS,,
755448592906,Vince Camuto Riviera Strapless Draped Tanki Black S,NEW,1,$78.00,$78.00,$19.50,VINCE CAMUTO/SWIMWEAR ANYWHERE INC,,
795459871508,Raisins Curve Trendy Plus Size Juniors Ruch Black 20W,NEW,1,$44.00,$44.00,$11.00,RAISINS PLUS/BREAKING WAVES INTL,,
795459871515,"Raisins Curve Plus Size Marrakesh Costa Bikini Bottom, 22W, Black",NEW,1,$44.00,$44.00,$11.00,RAISINS PLUS/BREAKING WAVES INTL,,
